Account ID,Account Name,Account Type,Department,Contact Person,Contact Email,Account Age (months),Current Balance (QAR),Credit Limit (QAR),Credit Utilization %,Overdue Balance (QAR),Overdue Days,Overdue Category,Returned Cheques Count,Broken Payment Promises,Last Payment Date,Risk Score,Risk Level,Action Required,Escalation Level,Created Date,Todays Date,Last Paymemnt, Credit Limit Remaining , Average MonthLY  Balance ,Overdue to Credit Limit %  ,Payment Promise Breach Flag
QA-ACC-1020,United Development Company,Corporate Client,Procurement,Ahmed Al-Mohannadi,ahmed.united@qatarairways.com.qa,31,4928969.75,2496347.19,197.45,764003.42,152,Severe (>90 days),0,5,2025-09-28,85,Critical,Immediate Suspension,Critical,2025-12-06,12/6/2025,69," 1,732,343.77 "," 158,999.02 ",197%,Yes
QA-ACC-1021,Qatar Islamic Bank,Corporate Client,Travel Management,Fatima Al-Kuwari,fatima.qatar@qatarairways.com.qa,27,2702084.69,993868.72,271.88,327572.26,99,Severe (>90 days),0,4,2025-10-09,80,Critical,Immediate Suspension,Critical,2025-12-06,12/6/2025,58," 666,296.46 "," 100,077.21 ",272%,Yes
QA-ACC-1004,Qatar Executive,Internal Affiliate,Travel Management,Khalid Al-Hajri,khalid.qatar@qatarairways.com.qa,8,4306705.01,6835044.63,63.01,23132.31,118,Severe (>90 days),2,0,2025-09-08,70,Critical,Immediate Suspension,Critical,2025-12-06,12/6/2025,89," 6,811,912.32 "," 538,338.13 ",63%,No
QA-ACC-1009,Mannai Corporation,Corporate Client,Travel Management,Sarah Al-Thani,sarah.mannai@qatarairways.com.qa,6,127400.21,4291674.66,2.97,44455.57,92,Severe (>90 days),1,3,2025-11-04,65,High,Payment Plan Required,High,2025-12-06,12/6/2025,32," 4,247,219.09 "," 21,233.37 ",3%,Yes
QA-ACC-1016,Doha Bank Corporate,Corporate Client,Procurement,Fatima Al-Kuwari,fatima.doha@qatarairways.com.qa,16,1655507.85,1308670.75,126.5,907760.16,158,Severe (>90 days),0,0,2025-09-21,60,High,Payment Plan Required,High,2025-12-06,12/6/2025,76," 400,910.59 "," 103,469.24 ",127%,No
QA-ACC-1000,Qatar Airways - Corporate Travel,Internal Affiliate,Corporate Sales,Khalid Al-Hajri,khalid.qatar@qatarairways.com.qa,44,3992887.78,1916004.42,208.4,600881.66,151,Severe (>90 days),0,0,2025-09-10,60,High,Payment Plan Required,High,2025-12-06,12/6/2025,87," 1,315,122.76 "," 90,747.45 ",208%,No
QA-ACC-1001,Qatar Holidays,Internal Affiliate,Procurement,Ahmed Al-Mohannadi,ahmed.qatar@qatarairways.com.qa,58,3025519.31,7109918.52,42.55,0,0,Current,4,2,2025-10-04,50,High,Payment Plan Required,High,2025-12-06,12/6/2025,63," 7,109,918.52 "," 52,164.13 ",43%,Yes
QA-ACC-1017,Qatar National Bank (QNB) Corporate,Corporate Client,Finance,Mohammed Al-Suwaidi,mohammed.qatar@qatarairways.com.qa,46,1558667.23,1730092.95,90.09,489981.67,80,High (61-90 days),0,0,2025-10-09,45,Medium,Send Reminder & Follow-up,Medium,2025-12-06,12/6/2025,58," 1,240,111.28 "," 33,884.07 ",90%,No
QA-ACC-1018,Commercial Bank of Qatar,Corporate Client,Corporate Sales,Fatima Al-Kuwari,fatima.commercial@qatarairways.com.qa,59,1132882.89,5625209.82,20.14,74243.32,81,High (61-90 days),0,3,2025-10-12,40,Medium,Send Reminder & Follow-up,Medium,2025-12-06,12/6/2025,55," 5,550,966.50 "," 19,201.40 ",20%,Yes
QA-ACC-1008,Gulf Contracting Co.,Corporate Client,Finance,Mohammed Al-Suwaidi,mohammed.gulf@qatarairways.com.qa,45,4230442.55,7498469.09,56.42,590883.65,153,Severe (>90 days),0,0,2025-10-23,40,Medium,Send Reminder & Follow-up,Medium,2025-12-06,12/6/2025,44," 6,907,585.44 "," 94,009.83 ",56%,No
